threshold,macro_f1
0.0,0.5812824783003635
0.005,0.779776540100973
0.01,0.7826216372435527
0.015,0.7830440675270395
0.02,0.7840894069656973
0.025,0.7843989383243182
0.03,0.7845147713850031
0.035,0.7845577968139635
0.04,0.7845662652503814
0.045,0.7846828611521718
0.05,0.7848808271974829
0.055,0.7849077511424749
0.06,0.7850343645463512
0.065,0.7850430908440883
0.07,0.7850700621528284
0.075,0.7850700621528284
0.08,0.7850700621528284
0.085,0.7850700621528284
0.09,0.7850700621528284
0.095,0.7850700621528284
0.1,0.7850751929093299
0.105,0.7850751929093299
0.11,0.785118450711893
0.115,0.785118450711893
0.12,0.785118450711893
0.125,0.785118450711893
0.13,0.785118450711893
0.135,0.7851397569732145
0.14,0.7851397569732145
0.145,0.7851397569732145
0.15,0.7852100989815044
0.155,0.7852100989815044
0.16,0.7852100989815044
0.165,0.7852535136838532
0.17,0.7853724443398321
0.17500000000000002,0.7855299822137783
0.18,0.7855299822137783
0.185,0.7855299822137783
0.19,0.7855735547384176
0.195,0.7855735547384176
0.2,0.7856005771923965
0.20500000000000002,0.7856005771923965
0.21,0.7856005771923965
0.215,0.7856760695358185
0.22,0.7856760695358185
0.225,0.7857197208353691
0.23,0.7857197208353691
0.23500000000000001,0.7857197208353691
0.24,0.7857411337465939
0.245,0.7857439202704043
0.25,0.7857439202704043
0.255,0.7858644480047202
0.26,0.7858644480047202
0.265,0.7857395802035279
0.27,0.7858152846103432
0.275,0.7858152846103432
0.28,0.7858152846103432
0.28500000000000003,0.7858152846103432
0.29,0.7858152846103432
0.295,0.7858152846103432
0.3,0.7858152846103432
0.305,0.7856901783881876
0.31,0.7856901783881876
0.315,0.7856901783881876
0.32,0.7856901783881876
0.325,0.7856901783881876
0.33,0.7858115171675046
0.335,0.7858115171675046
0.34,0.7858115171675046
0.34500000000000003,0.7858115171675046
0.35000000000000003,0.7858550881022991
0.355,0.7858550881022991
0.36,0.7858550881022991
0.365,0.7858550881022991
0.37,0.7859715689215463
0.375,0.7859715689215463
0.38,0.7859715689215463
0.385,0.7859715689215463
0.39,0.7859715689215463
0.395,0.7859715689215463
0.4,0.7859715689215463
0.405,0.7859715689215463
0.41000000000000003,0.7859715689215463
0.41500000000000004,0.7859715689215463
0.42,0.7859715689215463
0.425,0.7859715689215463
0.43,0.7859715689215463
0.435,0.7859715689215463
0.44,0.7859715689215463
0.445,0.7859715689215463
0.45,0.7859715689215463
0.455,0.7859715689215463
0.46,0.7859715689215463
0.465,0.7858461434010944
0.47000000000000003,0.7858461434010944
0.47500000000000003,0.7858461434010944
0.48,0.7858461434010944
0.485,0.7858840365121648
0.49,0.7859271374215392
0.495,0.7858013104970216
0.5,0.7858013104970216
0.505,0.7856752416573868
0.51,0.7856752416573868
0.515,0.7856752416573868
0.52,0.7856752416573868
0.525,0.7856752416573868
0.53,0.7856752416573868
0.535,0.7856752416573868
0.54,0.7856752416573868
0.545,0.7856752416573868
0.55,0.7856752416573868
0.555,0.7856752416573868
0.56,0.7856752416573868
0.5650000000000001,0.7856752416573868
0.5700000000000001,0.7856752416573868
0.5750000000000001,0.7856752416573868
0.58,0.7856752416573868
0.585,0.7856752416573868
0.59,0.7856752416573868
0.595,0.7856752416573868
0.6,0.7856752416573868
0.605,0.7856662409522693
0.61,0.7856662409522693
0.615,0.7856662409522693
0.62,0.7856662409522693
0.625,0.7856662409522693
0.63,0.7856662409522693
0.635,0.7856662409522693
0.64,0.7856662409522693
0.645,0.7856662409522693
0.65,0.7856877274777224
0.655,0.7857959135386309
0.66,0.7857959135386309
0.665,0.7857959135386309
0.67,0.7857959135386309
0.675,0.7857959135386309
0.68,0.7857959135386309
0.685,0.7857959135386309
0.6900000000000001,0.7857959135386309
0.6950000000000001,0.7857959135386309
0.7000000000000001,0.7857959135386309
0.705,0.7857959135386309
0.71,0.7857959135386309
0.715,0.7858394003451182
0.72,0.7858394003451182
0.725,0.7858394003451182
0.73,0.7858394003451182
0.735,0.7858394003451182
0.74,0.7857127640973496
0.745,0.7857127640973496
0.75,0.7858214868775489
0.755,0.7856946063488764
0.76,0.7858127555273354
0.765,0.7858476337898496
0.77,0.7858476337898496
0.775,0.7858476337898496
0.78,0.785720425546101
0.785,0.7857638249634299
0.79,0.7857638249634299
0.795,0.7853000701750177
0.8,0.7853000701750177
0.805,0.7851725323919977
0.81,0.7851725323919977
0.8150000000000001,0.7850447471268419
0.8200000000000001,0.7850447471268419
0.8250000000000001,0.7850447471268419
0.8300000000000001,0.7851625537040801
0.835,0.7851625537040801
0.84,0.7849062381556694
0.845,0.7847777061934745
0.85,0.7847777061934745
0.855,0.7847777061934745
0.86,0.7846300249918124
0.865,0.7846300249918124
0.87,0.7846300249918124
0.875,0.7847495412666866
0.88,0.7847867564318644
0.885,0.7847867564318644
0.89,0.7848297231316556
0.895,0.7848291788152814
0.9,0.7849495633824252
0.905,0.7850312616662705
0.91,0.7847720942064779
0.915,0.7848942430895925
0.92,0.7850172880707452
0.925,0.7849301093814223
0.93,0.7847998019380332
0.935,0.7844469350581343
0.9400000000000001,0.7844469350581343
0.9450000000000001,0.7844741097735718
0.9500000000000001,0.7843435464120257
0.9550000000000001,0.7842342503714806
0.96,0.7841400158187901
0.965,0.7840301325722246
0.97,0.7836342919507929
0.975,0.7837579060854339
0.98,0.7836172371062538
0.985,0.7827093759848274
0.99,0.7815496911017031
0.995,0.7810220926388637
1.0,0.030814424720412903
