class,precision,recall,f1,support
Benign,0.9991828396322778,0.9998637137989779,0.9995231607629428,14675
DrDoS_DNS,0.9710144927536232,0.9745454545454545,0.9727767695099818,550
DrDoS_NTP,1.0,0.9999450700357044,0.9999725342635063,18205
DrDoS_SNMP,1.0,1.0,1.0,408
LDAP_Attack,0.994,0.9900398406374502,0.9920159680638723,502
MSSQL_Attack,0.9963735267452403,0.9945701357466064,0.9954710144927537,2210
NetBIOS_Attack,0.9786096256684492,0.9838709677419355,0.9812332439678284,186
Portmap,0.9903846153846154,1.0,0.9951690821256038,103
Syn,0.9998648648648648,0.999054820415879,0.9994596785087126,7406
TFTP,0.9999325827546687,0.9995956328346138,0.999764079404132,14838
UDP-lag,0.9140684410646388,0.9030803906836965,0.90854119425548,1331
UDPLag,0.4,0.5,0.4444444444444444,8
UDP_Attack,0.9657661853749417,0.9698316183348924,0.9677946324387398,4276
